timestamp,shot_id,source_system,club,club_type,ball_speed,launch_angle,spin_rate,carry,total_distance,offline,peak_height,descent_angle,ball_velocity,ball_incidence,ball_direction,club_velocity,club_incidence,club_direction,attack_angle,club_path,face_angle,dynamic_loft,backspin,sidespin,totalspin,spin_axis,club_type,mat_type,shotdb_id,shotdb_filename,nx_csv_file,noti_match,received_at,source_format
2026.06.10_14.49.51,121,NX+,,Driver,50.2512,19.518,4962.54,,,,,,50.2512,19.518,4.73041,39.1982,0.0,0.0,0.0,0.0,0.9,0.0,4848.94,1055.73,4962.54,12.2829,Driver,Fairway,121,0121_a4778466_2026.06.10_14.49.51_S_D_R_B50.25&19.52&4.73_C39.20&0.00&0.00_S5048.02&573.81&5080.53.grc,/home/golfzon/.nxsensor/grc/2026.06.10/NXShotData_2026.06.10.csv,True,2026-06-10 14:49:51,nx_csv_after_log
4,4,GCQuad,1w,1w,50.511917,18.720665,4888.0,147.987701,158.812714,31.620813,26.089294,44.21014,,,3.770837,7500086.0,,,16777215.0,16777215.0,16777215.0,,4702.0,1339.0,4888.0,15.895492,1w,,,,,,2026-06-10 14:50:00,csv_text
2026.06.10_14.51.25,122,NX+,,Driver,44.8291,13.6205,1956.73,,,,,,44.8291,13.6205,-0.131028,38.1341,5.425,12.8595,5.425,12.8595,-14.8798,14.8293,1426.84,-1338.99,1956.73,-43.1807,Driver,Fairway,122,0122_a4778466_2026.06.10_14.51.25_S_D_R_B44.83&13.62&-0.13_C38.13&5.42&12.86_S2035.86&-2503.65&3226.91.grc,/home/golfzon/.nxsensor/grc/2026.06.10/NXShotData_2026.06.10.csv,True,2026-06-10 14:51:25,nx_csv_after_log
5,5,GCQuad,1w,1w,45.073032,13.103776,1948.0,105.805428,133.283752,-28.639582,7.929932,20.04644,,,-1.45342,7500086.0,,,16777215.0,16777215.0,16777215.0,,1339.0,-1416.0,1948.0,-46.600953,1w,,,,,,2026-06-10 14:51:32,csv_text
2026.06.10_14.51.51,123,NX+,,Driver,49.5213,16.9128,4863.81,,,,,,49.5213,16.9128,6.01072,44.4003,0.101331,2.50949,0.101331,2.50949,4.04237,19.3847,4574.76,1651.74,4863.81,19.8524,Driver,Fairway,123,0123_a4778466_2026.06.10_14.51.51_S_D_R_B49.52&16.91&6.01_C44.40&0.10&2.51_S4227.71&890.29&4320.43.grc,/home/golfzon/.nxsensor/grc/2026.06.10/NXShotData_2026.06.10.csv,True,2026-06-10 14:51:51,nx_csv_after_log
6,6,GCQuad,1w,1w,49.756119,16.272837,4774.0,143.12648,155.128601,37.743958,21.001709,39.73888,,,4.739796,7500086.0,,,16777215.0,16777215.0,16777215.0,,4478.0,1656.0,4774.0,20.294794,1w,,,,,,2026-06-10 14:51:59,csv_text
2026.06.10_14.54.48,124,NX+,,Driver,47.212,13.8996,2631.47,,,,,,47.212,13.8996,-0.347102,43.9223,-2.44344,3.88269,-2.44344,3.88269,-4.8774,16.2971,2295.78,-1286.11,2631.47,-29.2578,Driver,Fairway,124,0124_a4778466_2026.06.10_14.54.48_S_D_R_B47.21&13.90&-0.35_C43.92&-2.44&3.88_S4074.39&-1001.83&4195.75.grc,/home/golfzon/.nxsensor/grc/2026.06.10/NXShotData_2026.06.10.csv,True,2026-06-10 14:54:48,nx_csv_after_log
7,7,GCQuad,1w,1w,47.511349,13.351015,2508.0,130.833176,152.995377,-29.324581,11.88501,25.840895,,,-1.642129,7500086.0,,,16777215.0,16777215.0,16777215.0,,2205.0,-1197.0,2508.0,-28.495639,1w,,,,,,2026-06-10 14:54:55,csv_text
2026.06.10_14.55.19,125,NX+,,Driver,45.6972,14.1319,2232.03,,,,,,45.6972,14.1319,1.58071,45.6383,-0.993065,4.06794,-0.993065,4.06794,-2.87723,16.3403,2037.99,-910.253,2232.03,-24.0675,Driver,Fairway,125,0125_a4778466_2026.06.10_14.55.19_S_D_R_B45.70&14.13&1.58_C45.64&-0.99&4.07_S3943.82&-664.99&3999.49.grc,/home/golfzon/.nxsensor/grc/2026.06.10/NXShotData_2026.06.10.csv,True,2026-06-10 14:55:20,nx_csv_after_log
8,8,GCQuad,1w,1w,45.946617,13.748628,2224.0,127.669785,149.179398,-16.135851,11.612152,25.419176,,,0.295957,7500086.0,,,16777215.0,16777215.0,16777215.0,,2079.0,-790.0,2224.0,-20.806309,1w,,,,,,2026-06-10 14:55:27,csv_text
2026.06.10_14.55.39,126,NX+,,Driver,52.331,15.7431,3412.94,,,,,,52.331,15.7431,2.4618,37.4156,-1.81501,2.72064,-1.81501,2.72064,-0.300949,18.3356,3412.4,60.6953,3412.94,1.019,Driver,Fairway,126,0126_a4778466_2026.06.10_14.55.39_S_D_R_B52.33&15.74&2.46_C37.42&-1.82&2.72_S3704.55&-98.86&3705.87.grc,/home/golfzon/.nxsensor/grc/2026.06.10/NXShotData_2026.06.10.csv,True,2026-06-10 14:55:39,nx_csv_after_log
9,9,GCQuad,1w,1w,52.948292,15.15658,3444.0,165.04039,181.309601,9.338333,22.882111,38.4804,,,1.24014,7500086.0,,,16777215.0,16777215.0,16777215.0,,3437.0,222.0,3444.0,3.69567,1w,,,,,,2026-06-10 14:55:48,csv_text
2026.06.10_14.55.59,127,NX+,,Driver,46.0322,12.4091,1821.0,,,,,,46.0322,12.4091,-1.19019,36.5996,1.39077,2.92478,1.39077,2.92478,-4.74589,14.0145,1316.83,-1257.78,1821.0,-43.686,Driver,Fairway,127,0127_a4778466_2026.06.10_14.55.59_S_D_R_B46.03&12.41&-1.19_C36.60&1.39&2.92_S1972.69&-613.64&2065.93.grc,/home/golfzon/.nxsensor/grc/2026.06.10/NXShotData_2026.06.10.csv,True,2026-06-10 14:55:59,nx_csv_after_log
10,10,GCQuad,1w,1w,46.248421,11.671111,1834.0,102.989639,132.828125,-30.54673,6.70282,17.425438,,,-2.756693,7500086.0,,,16777215.0,16777215.0,16777215.0,,1218.0,-1372.0,1834.0,-48.40277,1w,,,,,,2026-06-10 14:56:06,csv_text
2026.06.10_14.56.23,128,NX+,,Driver,51.5333,18.6447,3990.37,,,,,,51.5333,18.6447,5.13189,47.4857,-0.867055,1.0846,-0.867055,1.0846,4.66837,21.5652,3842.71,1075.49,3990.37,15.6358,Driver,Fairway,128,0128_a4778466_2026.06.10_14.56.23_S_D_R_B51.53&18.64&5.13_C47.49&-0.87&1.08_S5198.50&1048.83&5303.25.grc,/home/golfzon/.nxsensor/grc/2026.06.10/NXShotData_2026.06.10.csv,True,2026-06-10 14:56:24,nx_csv_after_log
11,11,GCQuad,1w,1w,51.695583,17.90131,3899.0,157.592087,171.451096,32.192032,25.732208,42.253231,,,3.975285,7500086.0,,,16777215.0,16777215.0,16777215.0,,3775.0,976.0,3899.0,14.495997,1w,,,,,,2026-06-10 14:56:32,csv_text
